바하, 61, 146
사마, 84, 175
라바, 56, 151
라타, 50, 161
하사, 74, 167
가하, 69, 198
다차, 51, 158
아나, 40, 142
하차, 44, 185
바가, 95, 165
마마, 66, 165
차라, 78, 193
라가, 69, 145
가사, 42, 170
차나, 77, 198
마바, 46, 184
카사, 69, 156
파다, 73, 159
자타, 63, 160
파차, 40, 188
나나, 66, 171
하다, 67, 140
마차, 72, 151
마파, 97, 174
카바, 81, 181
아카, 48, 165
다나, 76, 180
하라, 90, 172
차가, 72, 144
다자, 76, 160
아라, 69, 191
바사, 71, 152
하라, 84, 196
타카, 46, 181
아파, 81, 161
다하, 91, 143
아나, 67, 162
하다, 57, 170
사사, 60, 146
파하, 93, 165
라나, 70, 199
차바, 71, 173
자카, 96, 160
자마, 89, 171
가가, 64, 148
나바, 67, 158
다바, 84, 170
사가, 78, 185
파하, 85, 189
라파, 66, 149
하하, 86, 142
카나, 69, 140
타아, 51, 177
나사, 63, 166
하자, 81, 160
하파, 61, 153
타나, 72, 146
사차, 68, 197
아타, 45, 179
아타, 48, 144
다차, 75, 168
가다, 51, 177
파가, 41, 150
카카, 76, 191
라자, 86, 197
바가, 77, 196
나나, 50, 161
라아, 87, 154
차나, 41, 167
아자, 62, 181
다아, 87, 161
카다, 78, 186
마카, 99, 159
나마, 58, 171
다마, 84, 158
차하, 96, 167
다자, 57, 196
아다, 69, 151
나바, 44, 171
나바, 61, 149
파아, 85, 189
자아, 72, 164
차마, 91, 199
카라, 61, 183
마타, 40, 178
마파, 51, 166
나나, 99, 158
다바, 67, 185
사가, 85, 181
가차, 99, 168
바자, 45, 143
나파, 55, 163
마바, 42, 187
카나, 55, 149
바타, 73, 190
차타, 46, 199
자나, 69, 177
나바, 76, 144
하파, 40, 192
가파, 60, 183
사타, 89, 181
파가, 85, 174
카하, 57, 167
타파, 40, 184
바가, 70, 190
마파, 89, 165
나사, 77, 163
라바, 40, 163
가아, 60, 161
나자, 88, 169
라하, 72, 188
나다, 44, 191
차사, 54, 193
라라, 74, 185
하마, 94, 193
아카, 47, 152
다파, 64, 162
가아, 52, 157
하타, 73, 153
아파, 46, 193
가마, 84, 154
자라, 54, 140
카라, 43, 187
가라, 73, 190
아차, 45, 187
아라, 55, 166
파카, 91, 150
카다, 70, 156
라하, 59, 158
카파, 63, 153
카마, 86, 142
카자, 83, 186
아파, 85, 148
타하, 88, 192
사라, 69, 145
차라, 92, 152
사파, 58, 149
바파, 41, 182
사카, 88, 178
파파, 91, 144
나차, 89, 145
바차, 81, 179
아카, 69, 159
카바, 61, 148
다가, 96, 155
라바, 71, 195
카하, 91, 193
자카, 54, 164
차하, 55, 191
나차, 52, 193
자라, 91, 147
카아, 86, 173
타마, 68, 158
나다, 70, 169
마다, 93, 178
차가, 58, 193
파아, 53, 173
다파, 74, 145
자하, 81, 163
마가, 77, 160
카파, 57, 168
가사, 49, 148
라아, 95, 140
라가, 69, 191
아자, 81, 181
하자, 72, 152
파아, 55, 168
사아, 77, 185
자타, 48, 161
아타, 81, 144
아다, 80, 178
하마, 49, 198
아나, 69, 164
나차, 78, 190
아마, 97, 186
바하, 87, 181
자타, 94, 197
타아, 52, 183
가라, 42, 168
다아, 80, 196
가다, 43, 170
파차, 64, 197
파아, 60, 165
가나, 71, 140
가하, 45, 149
다라, 57, 199
카하, 93, 148
카나, 57, 191
마파, 98, 158
사라, 77, 193
가다, 96, 176
가타, 82, 187
가사, 75, 163
사다, 62, 175
차하, 67, 144
다나, 65, 174
라아, 69, 149
카카, 71, 158
라사, 95, 179
타마, 90, 142
가라, 93, 190
차아, 47, 150
아파, 43, 196
마하, 96, 192
사가, 59, 176
마나, 86, 148
파바, 45, 196
하마, 50, 168
사아, 99, 182
바바, 69, 142
파바, 94, 156
카파, 72, 182
바카, 90, 173
카하, 58, 145
파바, 80, 173
파바, 58, 198
차파, 99, 182
마사, 69, 162
라바, 58, 142
하나, 53, 152
바사, 80, 153
아카, 63, 179
마다, 96, 185
마카, 52, 181
차타, 61, 196
바마, 69, 172
사마, 92, 146
아다, 93, 191
사차, 88, 164
나마, 68, 158
라사, 40, 160
파바, 95, 147
사바, 71, 149
타사, 91, 190
다마, 42, 178
라마, 65, 194
가다, 98, 188
바자, 98, 151
하사, 83, 175
자사, 91, 178
차사, 42, 195
아마, 79, 159
가하, 75, 169
차가, 44, 151
사마, 45, 192
자가, 94, 196
나자, 67, 142
하마, 51, 143
아타, 86, 154
파바, 55, 168
하사, 66, 187
아카, 80, 147
가사, 49, 142
바라, 40, 142
타나, 65, 177
하바, 98, 175
마파, 48, 142
파다, 57, 171
차바, 82, 180
라타, 88, 174
바나, 41, 156
타자, 79, 158
마자, 49, 175
라바, 74, 195
파마, 55, 155
자나, 76, 140
타하, 72, 173
나다, 60, 149
사사, 94, 164
파바, 41, 191
하마, 59, 146
타차, 49, 194
바파, 70, 151
자사, 42, 156
차마, 95, 180
다사, 72, 181
차사, 96, 152
라라, 81, 189
다마, 67, 194
아가, 77, 197
라아, 92, 146
나가, 70, 175
카라, 69, 168
자아, 60, 165
라마, 94, 172
하차, 46, 155
카나, 60, 143
나바, 61, 175
가자, 80, 157
자나, 55, 172
타가, 78, 178
타자, 47, 190
다마, 59, 152
사타, 79, 160
자카, 89, 194
파카, 67, 167
타라, 70, 192
아마, 47, 151
타파, 50, 192
자다, 57, 196
하파, 96, 181
사바, 74, 171
아하, 46, 179
사다, 64, 162
파카, 45, 149
차사, 83, 191
마라, 88, 190
카나, 88, 149
다나, 66, 175
사라, 87, 179
바타, 76, 141
다나, 86, 140
파파, 97, 143
바다, 74, 164
사아, 65, 159
다나, 85, 185
나사, 73, 195
바마, 79, 140
아아, 62, 151
하나, 87, 194
나하, 57, 184
마마, 81, 176
마라, 98, 171
파바, 62, 154
타사, 86, 196
하차, 64, 153
카하, 62, 156
나차, 77, 159
하바, 60, 194
라바, 67, 169
바바, 47, 155
다타, 79, 140
아파, 93, 151
차마, 97, 198
사카, 63, 159
자차, 96, 163
라나, 57, 184
바차, 69, 159
자카, 70, 149
타파, 81, 163
마마, 89, 149
바파, 62, 185
다타, 75, 178
마자, 53, 178
하다, 61, 180
카바, 58, 173
라타, 42, 152
카자, 91, 185
자가, 76, 162
사마, 59, 142
자마, 98, 159
아아, 68, 167
자타, 56, 151
나사, 49, 182
다바, 89, 165
카차, 84, 148
가자, 91, 140
사카, 40, 147
마나, 70, 177
아하, 49, 163
바차, 93, 156
마마, 59, 162
자바, 86, 143
차가, 85, 192
타가, 82, 152
바라, 65, 187
마카, 83, 188
자아, 55, 157
바카, 70, 161
다파, 54, 140
파다, 93, 152
아카, 66, 140
아라, 55, 170
사나, 54, 144
자라, 81, 148
나바, 86, 185
파아, 51, 175
하라, 95, 190
자타, 82, 185
바카, 99, 190
라차, 73, 166
차다, 89, 167
타바, 77, 163
카차, 55, 154
차나, 61, 142
파아, 79, 195
차사, 54, 152
차바, 93, 141
나마, 71, 161
가라, 79, 189
카차, 77, 158
자자, 90, 161
자가, 82, 142
타나, 61, 167
라라, 60, 143
타바, 41, 171
가차, 44, 146
카자, 50, 194
자파, 98, 183
바나, 68, 173
사다, 48, 157
하카, 53, 169
타자, 87, 171
사라, 42, 183
카하, 85, 141
나카, 57, 178
자가, 92, 153
가파, 86, 176
다마, 81, 194
마타, 44, 150
파파, 85, 178
하나, 65, 186
다가, 44, 188
마바, 59, 170
라나, 68, 168
다하, 98, 177
하하, 63, 142
사카, 91, 188
타다, 57, 147
파타, 42, 159
차바, 85, 189
카라, 47, 171
아사, 40, 186
마타, 68, 175
자다, 44, 140
라사, 95, 195
마아, 58, 161
아가, 92, 193
바마, 54, 162
아사, 74, 196
아다, 91, 158
다아, 75, 170
자라, 95, 142
카타, 96, 195
라하, 59, 154
라파, 43, 186
자자, 81, 171
라다, 53, 168
라타, 82, 173
아하, 46, 154
아사, 51, 186
가다, 97, 193
카하, 46, 156
하다, 80, 152
사마, 63, 196
아하, 80, 157
다카, 67, 198
자아, 51, 158
하아, 82, 186
카차, 88, 158
아타, 60, 158
타다, 52, 198
아사, 97, 186
라아, 42, 144
가자, 76, 162
다파, 93, 194
다카, 45, 175
차카, 94, 165
가파, 76, 151
사나, 50, 144
사타, 96, 171
타라, 41, 156
카아, 78, 169
라하, 49, 174
차자, 43, 173
가하, 93, 191
다사, 88, 180
나아, 94, 170
차가, 90, 148
하가, 93, 191
차다, 95, 188
라가, 79, 164
바자, 59, 190
사마, 44, 180
차아, 62, 161
나사, 72, 144
카마, 82, 140
다라, 58, 186
타차, 69, 145
자바, 74, 144
차나, 86, 156
하바, 68, 168
타사, 57, 172
마하, 92, 196
가자, 95, 149
마자, 45, 168
나가, 61, 155
마나, 50, 190
자자, 55, 193
자자, 57, 199
마바, 64, 146
차가, 95, 164
하바, 45, 193
하사, 44, 167
바다, 90, 170
마파, 76, 189
바다, 84, 189
다타, 99, 154
카가, 85, 173
다라, 63, 193
가나, 44, 187
나마, 81, 170
자차, 90, 142
바하, 43, 174
카사, 43, 176
마다, 44, 141
하가, 89, 185
파아, 41, 147
가타, 46, 194
나라, 94, 178
타하, 53, 193
차가, 62, 154
자사, 64, 140
타가, 94, 141
나카, 66, 186
카마, 61, 191
다마, 66, 167
파파, 59, 146
파마, 49, 154
아하, 64, 169
다다, 67, 179
하나, 41, 167
자사, 47, 143
나바, 78, 162
카나, 51, 182
라바, 73, 152
카사, 57, 179
자차, 92, 151
바파, 81, 146
가마, 54, 145
다자, 87, 162
타타, 43, 174
마타, 52, 148
다나, 59, 170
다타, 58, 176
라하, 49, 154
바마, 83, 165
바라, 89, 186
라나, 71, 144
나사, 88, 157
자가, 77, 196
자파, 68, 169
사마, 64, 170
카가, 79, 187
마라, 87, 159
바바, 49, 144
가사, 65, 153
카타, 73, 190
라사, 82, 176
하가, 47, 150
자사, 40, 178
차라, 48, 164
다나, 63, 166
사파, 80, 192
파차, 41, 158
마라, 59, 175
카가, 91, 172
나나, 54, 152
나파, 96, 189
마라, 64, 178
사아, 67, 167
나라, 51, 180
하카, 81, 147
아파, 97, 174
라아, 72, 194
라파, 75, 196
하라, 50, 164
카바, 49, 162
나자, 90, 141
마파, 64, 154
다파, 77, 161
하다, 77, 167
다자, 69, 173
마가, 78, 144
바아, 52, 197
라타, 77, 184
바가, 94, 187
가사, 89, 172
바바, 46, 161
라사, 61, 176
자파, 96, 180
자타, 55, 187
다바, 41, 196
바바, 97, 175
라가, 97, 175
나자, 66, 172
차아, 87, 176
자바, 48, 141
하카, 84, 166
나자, 59, 173
차파, 40, 183
하파, 43, 188
파카, 98, 176
차아, 91, 174
사아, 65, 179
차하, 57, 189
라바, 42, 176
나카, 48, 186
가라, 91, 176
파파, 70, 164
카하, 63, 148
가자, 91, 192
타마, 75, 143
타바, 56, 155
다아, 45, 150
바카, 55, 187
바마, 44, 188
사카, 79, 169
나사, 90, 174
타차, 50, 165
다마, 83, 152
아가, 51, 172
하라, 77, 157
라사, 86, 152
타다, 77, 197
나하, 54, 194
마파, 73, 177
가타, 81, 182
다사, 65, 189
차차, 41, 186
마파, 62, 182
차나, 80, 166
파자, 69, 166
마바, 45, 176
사바, 56, 166
나라, 55, 171
파바, 65, 195
카라, 47, 154
바다, 96, 166
아카, 94, 192
바하, 41, 141
파파, 68, 155
카라, 51, 170
바타, 65, 171
하다, 45, 171
사자, 76, 193
사자, 42, 172
바바, 97, 158
타다, 47, 187
가아, 66, 152
가나, 57, 169
마차, 88, 140
마아, 78, 144
마나, 66, 149
아아, 97, 149
나파, 97, 152
다자, 61, 156
차사, 40, 187
바나, 50, 149
나파, 54, 171
다바, 86, 153
마하, 50, 171
바타, 50, 198
아바, 94, 154
마차, 95, 196
자가, 97, 145
파카, 83, 143
가사, 88, 190
하가, 89, 188
아바, 40, 141
하자, 46, 151
하가, 53, 146
나사, 81, 177
바파, 86, 170
바나, 92, 172
파파, 44, 152
아타, 49, 161
하바, 77, 146
다파, 59, 183
타파, 89, 141
가나, 72, 188
파아, 96, 196
다카, 79, 166
나차, 60, 148
타파, 54, 178
차라, 73, 170
아마, 97, 162
하차, 94, 161
바나, 46, 187
자카, 83, 155
하카, 50, 182
자라, 40, 193
카아, 71, 179
사카, 70, 188
가나, 66, 160
다라, 53, 197
마타, 80, 148
차다, 76, 194
바라, 90, 182
나다, 41, 157
사나, 50, 141
나하, 47, 147
사마, 91, 192
사라, 88, 166
카아, 87, 146
나타, 42, 196
하파, 44, 153
자파, 52, 194
라카, 77, 169
마아, 49, 165
차자, 92, 166
파나, 40, 158
자나, 66, 173
라가, 54, 197
차사, 49, 178
마마, 70, 155
타다, 49, 180
타카, 48, 184
아카, 90, 140
사다, 67, 146
타하, 71, 157
하다, 55, 140
다사, 81, 185
하가, 72, 162
자라, 51, 165
가아, 45, 141
하타, 52, 183
사카, 48, 196
파아, 95, 167
가라, 99, 187
카가, 78, 152
아나, 68, 174
사다, 70, 190
마자, 53, 178
파라, 90, 142
바자, 61, 166
사타, 98, 192
가타, 54, 150
하차, 88, 151
가자, 49, 169
다가, 49, 173
바파, 87, 148
나마, 60, 189
마카, 81, 157
마나, 80, 156
사타, 90, 163
라다, 41, 192
차하, 75, 165
파다, 76, 195
사타, 74, 167
타사, 52, 184
